"Title";"User";"Description";"Views";"superuser"
"Your Husband Will Never Leave You If You Do This - Health - Nairaland";"Julietnnena";"Hello ladies, this is what you should be fond of doing daily. Always drink or take it everyday. Your husband will never leave you if you do it daily. It will make you taste good for your man. And also make you smell nice.  https://www.youtube.com/watch?v=MHd2fJD7FE0";" 172 ";"Julietnnena"
"When A DNA Test Says You’re A Younger Man - Health - Nairaland";"korrej";"After a bone marrow transplant, a man with leukemia found that his donor’s DNA traveled to unexpected parts of his body. A crime lab is now studying the case.Three months after his bone marrow transplant, Chris Long of Reno, Nev., learned that the DNA in his blood had changed. It had all been replaced by the DNA of his donor, a German man he had exchanged just a handful of messages with.He’d been encouraged to test his blood by a colleague at the Sheriff’s Office, where he worked. She had an inkling this might happen. It’s the goal of the procedure, after all: Weak blood is replaced by healthy blood, and with it, the DNA it contains.  But four years after his lifesaving procedure, it was not only Mr. Long’s blood that was affected. Swabs of his lips and cheeks contained his DNA — but also that of his donor. Even more surprising to Mr. Long and other colleagues at the crime lab, all of the DNA in his semen belonged to his donor. “I thought that it was pretty incredible that I can disappear and someone else can appear,” he said.Mr. Long had become a chimera, the technical term for the rare person with two sets of DNA. The word takes its name from a fire-breathing creature in Greek mythology composed of lion, goat and serpent parts. Doctors and forensic scientists have long known that certain medical procedures turn people into chimeras, but where exactly a donor’s DNA shows up — beyond blood — has rarely been studied with criminal applications in mind. Tens of thousands of people get bone marrow transplants every year, for blood cancers and other blood diseases including leukemia, lymphoma and sickle cell anemia. Though it’s unlikely that any of them would end up as the perpetrator or victim of a crime, the idea that they could intrigued Mr. Long’s colleagues at the Washoe County Sheriff’s Department, who have been using their (totally innocent) colleague in IT as a bit of a human guinea pig.Where will the DNA go?The implications of Mr. Long’s case, which was presented at an international forensic science conference in September, have now captured the interest of DNA analysts far beyond Nevada.The average doctor does not need to know where a donor’s DNA will present itself within a patient. That’s because this type of chimerism is not likely to be harmful. Nor should it change a person. “Their brain and their personality should remain the same,” said Andrew Rezvani, the medical director of the inpatient Blood & Marrow Transplant Unit at Stanford University Medical Center.He added that patients also sometimes ask him what it means for a man to have a woman’s chromosomes in their bloodstream or vice versa. “It doesn’t matter,” he said.But for a forensic scientist, it’s a different story. The assumption among criminal investigators as they gather DNA evidence from a crime scene is that each victim and each perpetrator leaves behind a single identifying code — not two, including that of a fellow who is 10 years younger and lives thousands of miles away. And so Renee Romero, who ran the crime lab at the Washoe County Sheriff’s Office, saw an opportunity when her friend and colleague told her that his doctor had found a suitable match on a donor website and he would be undergoing a bone marrow transplant.“We need to swab the heck out of you before you have this procedure to see how this DNA takes over your body,” she recalled telling him.Mr. Long agreed. He welcomed an intriguing distraction from his diagnosis of acute myeloid leukemia and myelodysplastic syndromes, both of which  impair the production of  healthy blood cells.";" 154 ";"korrej"
"How Do I Discipline Myself? - Health - Nairaland";"LeiderJa";"Recklessness is my way. I literally don't care about anything.My studies are piling. My body is as lanky as a sicklers body would be. I'm always on my phone or on a laptop or on a PS4. No break.At times my life depresses me because everything I do always seems like a step to close to catastrophe. I'm just tired but somehow I can't discipline myself.I've thought of giving my phone away. Of giving everything away but I just can't.How do I do this, please.";" 77 ";"LeiderJa"
"Unveiling How I Ended The Diabetic Trend In My Family. - Health - Nairaland";"qlickedin";"A MUST READ FOR EVERY FAMILY/PERSON STRUGGLING WITH DIABETESMy Name is Bayo, I live a very healthy life with my wife and Kids. I am very cautious of what I put in my body, because my family has a long history of high blood sugar, as a matter of fact, we’ve lost grandparents and uncles to these disease over the years.To know what i did when my story almost became like that of my uncles and most people who has suffered from this deadly ailment called diabetes...FOLLOW THIS LINK >>> CLICK HEREYou can also contact me via Call/WhatsApp : +2349010175179";" 50 ";"qlickedin"
"The Most Effective Detox And Weight Loss Solution From USA With NAFDAC Approval - Health - Nairaland";"qlickedin";" - We have several detox and cleansing solutions in Nigeria, i have seen them but the PURE HealthTrim Cleanse is the best with the most testimony globally.1. Save money (1 bottle serves you for over 3months)2. This solution cleanses 7pathways in the body system(liver, lung, kidney, blood, skin, colon, lymphatic system)3. It has over 20 Nutrients4. 1 bottle contains 120 capsules5. This solution also help provide weight loss - You can check on youtube ""PURE CLEANSE"" to see amazing testimonies worldwide - Interested call/WhatsApp: 09010175179";" 90 ";"qlickedin"
"Trying To Conceive A Child? TTC - Health - Nairaland";"Arlington";"Hello everyone,I wanted to start this for women who are still waiting for a child, who have tried for a long time, have suffered miscarriages, still births  and  are trying to find alternative ways of having a child.In our culture it is really difficult to talk about this as people are ashamed or don't know who to trust  and are just generally confused. I have suffered 2 miscarriages and i am still on this journey i believe that i will  be a mother some day.We believe in Nigeria after 2 years  and no child you have major issues especially from your village but i know that is not always true.So please come in let us support one another we can pray together, share ideas  seek advice and get advice  and travel this road together dont suffer in silence don't cry alone anymore let us help each other, until the day we carry our bundle of joy. (My own bundle of joy was born December 2010 nothing is impossible with God)";" 3881892 ";"Arlington"
"My Friend Is Suicidal - Health - Nairaland";"Ramos16";"Hi guys, Back in school, we called him oga, because he is more senior than all of us and we respect him, we were roommates and studied the same course. After school we did not maintain any contacts, a couple of months ago he sent me a message stating how broke he was and if I could help him with a thousand Naira, I had only 3k in my Nigerian account so I sent it to him, he reached out to me again a couple of months later asking for assist. At this time I decided to speak to a mutual friend who in my opinion is closer to him and he confirmed that ""oga"" has been calling and asking for money too. I went ahead to help him as I thought whatever the case may be, he must need it and that is why he resolved to begging.Fast forward to yesterday, he reached out to me with the most disturbing messages Oga: Sir George please help me pray that the lord calls me home and grant me eternal restI was baffled by this and asked for him to clarify, and he wrote backOga:I am tired of living, life has become an illusion to me. i prefer death, I have never imagined what i am going through right, i literally leave by begging. my landlandy took me to court, because i am oweing for more that a year. the tribunal would be coming to pack my load tomorrowWe had a discussion I explained to him how taking his life is not the solution and he should exercise some patience. At this same time, I was trying to figure out how to get the money for his rent over to him. It took the whole night for the money to be transferred and by this morning he sent me a message saying Oga: Sir George good morning, i really appreciate you for all you have done for me including ur kind counsel, may God bless you. I have to end it up sir.I called him immediately and we talked and I transferred the money to him, he was grateful. I think for now we might have averted any harm that he intended on himself, but for how long? And what can I do to help him?";" 477 ";"Ramos16"
"University Of Ibadan Doctors Discover Cure For AIDS - Health - Nairaland";"Allikola";"University Of Ibadan Doctors Discover Cure For AIDS, Publish In Accredited Scientific Journals-Nigerian physicians and researchers have discovered a tested cure for HIV virus, the cause of AIDS.The team of researchers who found this cure in pilot studies, Dr. Onifade Abdulfattah Adekunle, M.B.B.S., M.S., Ph.D of the Immunology unit, College of Medicine, University of Ibadan, Jewell AP from India, and Dr. Adedeji WA, converted several patients from an HIV positive status to a negative status in four months after first eliminating most symptoms of AIDS in the first three weeks on the remedy.The cure which is a well known and recognized herb/seed has been promised according to Muslim scripture to “hold a cure to every disease except death,” in a statement credited to Islam’s Prophet, Mohammed(s).The studies below were published in the African Journal Traditional, Complementary and Alternative Medicine and the second study in the Journal of Herbal Medicine.By no coincidence, mainstream media has been silent about these ground-breaking results since it was discovered.The CureNatural Society reports:Nigella Sativa, also known as “black seed,” is experiencing a boom in popularity as the number of scientific studies affirming its long-supposed benefits are coming to light. Now, a remarkable case study stands to add “HIV treatment” to its list of potential benefits.MUSLIM HADITHAbu Hurayrah, may Allah be pleased with him, narrated that the Prophet sallallaahu `alayhi wa sallam ( may Allah exalt his mention ) said:  “Use this Black Seed regularly, because it is a cure for every disease, except death.” [Al-Bukhari and Muslim]First StudyThe study, published in the African Journal of Traditional, Complementary, and Alternative Medicine, tells the story of an HIV patient who went into complete remission after black seed treatment.As published in the first study, the patient was treated with Nigella sativa for a period of six months, after which there was no detectable HIV virus or antibodies against HIV in his bloodstream. Further, the HIV stayed gone.The study abstract explains that the patient, who saw an herbalist, was suffering with symptoms common in HIV, including chronic fever, weight loss, lesions, and diarrhea. But the black seed treatment had impressive and near-immediate results.“The patient was commenced on Nigella sativa concoction 10 mls twice daily for 6 months.. He was contacted daily to monitor side-effects and drug efficacy. Fever, diarrhoea and multiple pruritic lesions disappeared on 5th, 7th and 20th day respectively on Nigella sativa therapy. “On the 187th day, HIV tests came back negative. Further, 24 months after the therapy was stopped, the tests remained negative for HIV and HIV antibodies, researchers, Onifade AA1, Jewell AP, and Adedeji WA published.Abstract contd. Examination revealed moderate weight loss, and the laboratory tests of ELISA (Genscreen) and western blot (new blot 1 & 2) confirmed sero-positivity to HIV infection with pre-treatment viral (HIV-RNA) load and CD4 count of 27,000 copies/ml and CD4 count of 250 cells/ mm(3) respectively. The patient was commenced on Nigella sativa concoction 10 mls twice daily for 6 months.. He was contacted daily to monitor side-effects and drug efficacy. Fever, diarrhoea and multiple pruritic lesions disappeared on 5th, 7th and 20th day respectively on Nigella sativa therapy. The CD4 count decreased to 160 cells/ mm3 despite significant reduction in viral load (≤1000 copies/ml) on 30th day on N. sativa. Repeated EIA and Western blot tests on 187th day on Nigella sativa therapy was sero-negative. The post therapy CD4 count was 650 cells/ mm(3) with undetectable viral (HIV-RNA) load.Generally, HIV is treated with highly active anti-retroviral therapy (HAART). This conventional therapy is controversial because the side-effects are often far worse than the viral symptoms to begin with. There are indications that the treatment, and not the HIV virus at all, can be blamed for many HIV-credited fatalities.“This case report reflects the fact that there are possible therapeutic agents in Nigella sativa that may effectively control HIV infection,” concluded the study authors, adding HIV treatment to the long list of potential black seed benefits.As we reported a few months ago on the benefits of black seed (Part I and Part II), the seed has been used for centuries as a healing remedy. A few of the known benefits include treatment of:•Various type of cancer•Epilepsy•Type 2 diabetes•MRSA•Brain damage from lead•Asthma•Radiation damage•High blood pressureNigella sativa can be found online and in health stores under the names black seed and occasionally black cumin. However, because “black cumin” is a common name applied to a completely different seed, make sure the product is labeled as Nigella sativa.Second studyAs can be seen in the abstract below, in the second study, six patients were converted to a sero-negative status four months post therapy on a special preparation of black seed with honey called α-Zam.Effectiveness of a herbal remedy in six HIV patients in NigeriaAbstractThe failure of conventional medicine to cure the human immunodeficiency virus (HIV) infection compels many people living with the virus to seek alternative therapy. This pilot study determined the effectiveness (clinical and laboratory responses) of α-Zam (defined by the herbal therapist as Nigella sativa and honey), which is used by patients seeking herbal remedies for HIV infection in Nigeria. Six patients taking this herbal concoction as an alternative therapy for HIV infection were recruited into the study and monitored for 4 months. All six patients were infected by HIV, as confirmed by Western blot analysis in the nearest teaching hospital, i.e. LAUTECH teaching hospital or Ahmadu Bello University Teaching Hospital, before commencing preliminary clinical and laboratory examinations using World Health Organization (WHO) and Centres for Disease Control and Prevention (CDC) criteria. The patients were contacted daily and visited regularly after commencement of herbal medications to assess the efficacy (disappearance of presenting signs and symptoms associated with HIV infection), side-effects, drug toxicity, and compliance. The symptoms and signs associated with HIV infection disappeared within 20 days of commencement of herbal therapy with significant difference (p < 0.05) before treatment and at periodic intervals on α-Zam therapy. Body weight increased from an average of 53 ± 2 kg to 63 ± 2 kg, viral load (HIV-RNA) decreased from 42,300 ± 1500 copies/ml to an undetectable level (≤50 copies/ml), and CD4+ count increased from an average of 227 ± 9 to 680 ± 12 mm3/μL at 4 months post-therapy. This study concluded that the herbal remedy (α-Zam) is effective in the treatment of HIV infection based on a significant improvement in both the clinical features and laboratory results of HIV infection. However, a longer follow-up is suggested to ensure that the observed improvement is sustained. In addition, a large population study is needed to confirm our observation in this cohort of people.Several other HIV patients in various countries including the United States have described the same results with the use of Black seed. Scientific Journal NOTE To cure ANY Diseases, take 10mls of Black Seed Oil and Honey (Morning & Night) for 60 days. U'll get cured INSHA ALLAHU !!!08031505760, 08054642960";" 15033 ";"Allikola"
"Become A Contract/supply Initiator (LUCRATIVE) - Health - Nairaland";"fijosolutions";"With just #900, I will show you how to be FINANCIALLY FREE as a Contract/Supply initiator.Interested persons should me on Whatsapp via 09090301961";" 46 ";"fijosolutions"
"Any Treatment For Severe Tooth Ache? - Health - Nairaland";"Udehpaschal1";"Doctors in the house.Am in pains here. this tooth ache is killing me . Pls help!!Anyone who has experienced same problem, pls help. Am in pain. Herbal or orthodox, anything to ease this pain";" 9261 ";"Udehpaschal1"
"American Fitness Bike For Sale - Health - Nairaland";"Nasamy";"American Fitness bike for sale55kLocation: Lagos Stats, AjahContact: 08063540945";" 592 ";"Nasamy"
